Date,hour,screening_hall,screening_mode,free,sold
03.05.2019, 17:00 ,Αίθουσα 7,2d,191,50
03.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,233,76
03.05.2019, 19:00 ,Αίθουσα 2,2d,229,53
03.05.2019, 20:00 ,Αίθουσα 3,2d,253,30
03.05.2019, 20:45 ,Αίθουσα 7,2d,200,41
03.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,173,136
03.05.2019, 22:00 ,Αίθουσα 6,2d,189,9
03.05.2019, 22:30 ,Αίθουσα 2,2d,268,14
03.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
03.05.2019, 23:30 ,Αίθουσα 3,2d,281,2
04.05.2019, 12:00 ,Αίθουσα 3,2d,279,4
04.05.2019, 12:55 ,Αίθουσα 7,2d,237,4
04.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,303,6
04.05.2019, 15:00 ,Αίθουσα 2,2d,282,0
04.05.2019, 16:00 ,Αίθουσα 3,2d,283,0
04.05.2019, 17:00 ,Αίθουσα 7,2d,234,7
04.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,273,36
04.05.2019, 19:00 ,Αίθουσα 2,2d,277,5
04.05.2019, 20:00 ,Αίθουσα 3,2d,274,9
04.05.2019, 20:45 ,Αίθουσα 7,2d,233,8
04.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,237,72
04.05.2019, 22:00 ,Αίθουσα 6,2d,195,3
04.05.2019, 22:30 ,Αίθουσα 2,2d,276,6
04.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
04.05.2019, 23:30 ,Αίθουσα 3,2d,283,0
05.05.2019, 12:00 ,Αίθουσα 3,2d,283,0
05.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
05.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,307,2
05.05.2019, 15:00 ,Αίθουσα 2,2d,278,4
05.05.2019, 16:00 ,Αίθουσα 3,2d,274,9
05.05.2019, 17:00 ,Αίθουσα 7,2d,235,6
05.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,285,24
05.05.2019, 19:00 ,Αίθουσα 2,2d,263,19
05.05.2019, 20:00 ,Αίθουσα 3,2d,281,2
05.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
05.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,284,25
05.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
05.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
05.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
06.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
06.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,306,3
06.05.2019, 19:00 ,Αίθουσα 2,2d,282,0
06.05.2019, 20:00 ,Αίθουσα 3,2d,281,2
06.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
06.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,306,3
06.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
06.05.2019, 22:30 ,Αίθουσα 2,2d,280,2
06.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
07.05.2019, 17:00 ,Αίθουσα 7,2d,238,3
07.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,299,10
07.05.2019, 19:00 ,Αίθουσα 2,2d,252,30
07.05.2019, 20:00 ,Αίθουσα 3,2d,223,60
07.05.2019, 20:45 ,Αίθουσα 7,2d,226,15
07.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,259,50
07.05.2019, 22:00 ,Αίθουσα 6,2d,189,9
07.05.2019, 22:30 ,Αίθουσα 2,2d,275,7
07.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
07.05.2019, 23:30 ,Αίθουσα 3,2d,281,2
08.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
08.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,309,0
08.05.2019, 19:00 ,Αίθουσα 2,2d,282,0
08.05.2019, 20:00 ,Αίθουσα 3,2d,281,2
08.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
08.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,307,2
08.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
08.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
08.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
