Date,hour,screening_hall,screening_mode,free,sold
05.05.2019, 20:45 ,Αίθουσα 7,2d,174,67
05.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,181,128
05.05.2019, 22:00 ,Αίθουσα 6,2d,178,20
05.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
05.05.2019, 23:00 ,Αίθουσα 4,2d,184,1
06.05.2019, 17:00 ,Αίθουσα 7,2d,239,2
06.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,293,16
06.05.2019, 19:00 ,Αίθουσα 2,2d,279,3
06.05.2019, 20:00 ,Αίθουσα 3,2d,277,6
06.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
06.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,278,31
06.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
06.05.2019, 22:30 ,Αίθουσα 2,2d,280,2
06.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
07.05.2019, 17:00 ,Αίθουσα 7,2d,232,9
07.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,286,23
07.05.2019, 19:00 ,Αίθουσα 2,2d,213,69
07.05.2019, 20:00 ,Αίθουσα 3,2d,206,77
07.05.2019, 20:45 ,Αίθουσα 7,2d,199,42
07.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,215,94
07.05.2019, 22:00 ,Αίθουσα 6,2d,177,21
07.05.2019, 22:30 ,Αίθουσα 2,2d,271,11
07.05.2019, 23:00 ,Αίθουσα 4,2d,179,6
07.05.2019, 23:30 ,Αίθουσα 3,2d,281,2
08.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
08.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,309,0
08.05.2019, 19:00 ,Αίθουσα 2,2d,282,0
08.05.2019, 20:00 ,Αίθουσα 3,2d,281,2
08.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
08.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,299,10
08.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
08.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
08.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
