Date,hour,screening_hall,screening_mode,free,sold
07.05.2019, 17:00 ,Αίθουσα 7,2d,198,43
07.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,255,54
07.05.2019, 19:00 ,Αίθουσα 2,2d,164,118
07.05.2019, 20:00 ,Αίθουσα 3,2d,157,126
07.05.2019, 20:45 ,Αίθουσα 7,2d,135,106
07.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,157,152
07.05.2019, 22:00 ,Αίθουσα 6,2d,143,55
07.05.2019, 22:30 ,Αίθουσα 2,2d,253,29
07.05.2019, 23:00 ,Αίθουσα 4,2d,176,9
07.05.2019, 23:30 ,Αίθουσα 3,2d,271,12
08.05.2019, 17:00 ,Αίθουσα 7,2d,240,1
08.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,296,13
08.05.2019, 19:00 ,Αίθουσα 2,2d,280,2
08.05.2019, 20:00 ,Αίθουσα 3,2d,278,5
08.05.2019, 20:45 ,Αίθουσα 7,2d,233,8
08.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,292,17
08.05.2019, 22:00 ,Αίθουσα 6,2d,194,4
08.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
08.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
