Date,hour,screening_hall,screening_mode,free,sold
06.05.2019, 17:00 ,Αίθουσα 7,2d,217,24
06.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,296,13
06.05.2019, 19:00 ,Αίθουσα 2,2d,267,15
06.05.2019, 20:00 ,Αίθουσα 3,2d,265,18
06.05.2019, 20:45 ,Αίθουσα 7,2d,239,2
06.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,243,66
06.05.2019, 22:00 ,Αίθουσα 6,2d,192,6
06.05.2019, 22:30 ,Αίθουσα 2,2d,280,2
06.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
07.05.2019, 17:00 ,Αίθουσα 7,2d,214,27
07.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,271,38
07.05.2019, 19:00 ,Αίθουσα 2,2d,189,93
07.05.2019, 20:00 ,Αίθουσα 3,2d,185,98
07.05.2019, 20:45 ,Αίθουσα 7,2d,177,64
07.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,187,122
07.05.2019, 22:00 ,Αίθουσα 6,2d,169,29
07.05.2019, 22:30 ,Αίθουσα 2,2d,256,26
07.05.2019, 23:00 ,Αίθουσα 4,2d,176,9
07.05.2019, 23:30 ,Αίθουσα 3,2d,273,10
08.05.2019, 17:00 ,Αίθουσα 7,2d,240,1
08.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,306,3
08.05.2019, 19:00 ,Αίθουσα 2,2d,280,2
08.05.2019, 20:00 ,Αίθουσα 3,2d,281,2
08.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
08.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,293,16
08.05.2019, 22:00 ,Αίθουσα 6,2d,196,2
08.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
08.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
